University,Location
Massachusetts Institute of Technology (MIT), United States
Stanford University, United States
University of Oxford, United Kingdom
University of Cambridge, United Kingdom
University of California, Berkeley (UCB)
Columbia University, United States
Princeton University, United States
Yale University, United States
University of Chicago, United States
California Institute of Technology (Caltech), United States
University of Pennsylvania, United States
University College London (UCL), United Kingdom
Cornell University, United States
Johns Hopkins University, United States
Imperial College London, United Kingdom
ETH Zurich (Swiss Federal Institute of Technology), Switzerland
University of California, Los Angeles (UCLA)
Northwestern University, United States
University of Michigan, Ann Arbor
University of California, San Diego (UCSD)
University of Washington, United States
New York University (NYU), United States
University of Toronto, Canada
Duke University, United States
Tsinghua University, China
University of Edinburgh, United Kingdom
King's College London, United Kingdom
University of Texas at Austin, United States
National University of Singapore (NUS), Singapore
Washington University in St. Louis, United States
University of Manchester, United Kingdom
University of North Carolina, Chapel Hill
University of Melbourne, Australia
University of Wisconsin-Madison, United States
University of British Columbia, Canada
EPFL, Switzerland
Nanyang Technological University (NTU), Singapore
McGill University, Canada
Utrecht University, Netherlands
University of Illinois at Urbana-Champaign, United States
University of Queensland, Australia
University of Sydney, Australia
Carnegie Mellon University, United States
University of Amsterdam, Netherlands
University of New South Wales (UNSW Sydney), Australia
University of Southern California, United States
University of Zurich, Switzerland
University of California, Santa Barbara (UCSB)
Peking University, China
Georgia Institute of Technology, United States
Ludwig-Maximilians-Universität München (LMU), Germany
University of Copenhagen, Denmark
Monash University, Australia
University of Maryland, College Park
KU Leuven, Belgium
Boston University, United States
Technical University of Munich (TUM), Germany
The Australian National University, Australia
University of Bristol, United Kingdom
University of Minnesota Twin Cities, United States
Ruprecht-Karls-Universität Heidelberg, Germany
Brown University, United States
Université PSL, France
Ohio State University, United States
Vanderbilt University, United States
University of Hong Kong, Hong Kong
Chinese University of Hong Kong (CUHK), Hong Kong
Pennsylvania State University, United States
University of Groningen, Netherlands
University of California, Irvine
University of Pittsburgh, United States
Emory University, United States
Sorbonne University, France
University of Glasgow, United Kingdom
University of Science and Technology of China, China
University of Leeds, United Kingdom
Purdue University, West Lafayette
Wageningen University & Research, Netherlands
University of Warwick, United Kingdom
Zhejiang University, China
University of Geneva, Switzerland
University of Oslo, Norway
Erasmus University Rotterdam, Netherlands
Rice University, United States
University of Sheffield, United Kingdom
Ghent University, Belgium
University of Tokyo, Japan
University of Adelaide, Australia
Université Paris-Saclay, France
Vrije Universiteit Amsterdam (VU Amsterdam), Netherlands
University of Nottingham, United Kingdom
Michigan State University, United States
University of Basel, Switzerland
University of Western Australia, Australia
Shanghai Jiao Tong University, China
University of Bern, Switzerland
Delft University of Technology, Netherlands
McMaster University, Canada
Uppsala University, Sweden
Hong Kong Polytechnic University, Hong Kong
City University of Hong Kong, Hong Kong
